FIPS,Area (Land),Area (Water),Total_Population,Percent_Pov
Geo_FIPS,Geo_AREALAND,Geo_AREAWATR,SE_A00001_001,PCT_SE_A13002_002
09140343101,16786298,0,5127,1.3
09140343102,11257182,1159728,4179,0.62
09140343200,22367984,35360,5930,1.25
09140343300,19600057,40439,6474,2.62
09140343400,15034068,18802,7142,3.31
09140344100,21431289,125103,4697,4.95
09140344200,24557222,1659957,3039,2.01
09140345100,8733918,133101,6484,2.44
09140345201,8639895,67828,7675,7.09
09140345202,4896144,8358,3850,1.32
09140345300,13205041,0,6555,2.83
09140345400,6960046,37266,7070,2.73
09140346101,36321510,758418,6875,0
09140346102,48488146,766788,5995,2.37
09140347100,20707979,48569,5710,0
09140347200,16073464,578146,3704,3.07
09140348111,34914933,1921870,2450,0.77
09140348122,20065075,0,4271,0
09140348123,27816417,626657,6054,0
09140348124,8124729,93812,2425,0
09140348125,10102238,100961,4773,0
09140349100,21900021,362870,5277,0
09140349200,9150021,198878,2199,0
09140350101,1175805,0,4410,27.92
09140350200,678678,0,3876,56.34
09140350300,447313,1964,2237,20.97
09140350400,424642,0,2735,29.47
09140350500,781540,0,2836,57.56
09140350800,1067270,0,5679,28.06
09140350900,761546,0,2367,15.78
09140351000,1789925,19789,4314,6.64
09140351100,4039359,273592,4867,19.58
09140351200,1923625,8997,3852,39.29
09140351300,2296209,5632,5068,8.75
09140351400,1127600,0,4759,15.42
09140351500,2803887,51450,4862,15.53
09140351601,1153151,0,3479,2.97
09140351602,3682071,0,6226,13.69
09140351700,654165,0,2771,26.27
09140351800,3670335,138454,4156,3.86
09140351900,6943395,151596,2546,1.57
09140352000,5530410,0,4875,6.23
09140352100,1712572,0,4259,15.22
09140352200,2106150,0,2721,31.91
09140352300,6499107,195029,2807,33.89
09140352400,4419962,6577,3657,16.06
09140352500,3297841,59513,3753,27.13
09140352600,2337814,0,5265,10.6
09140352701,2954318,0,3466,17.65
09140352702,2874849,28828,5912,17.23
09140352800,6807663,152160,6601,31.13
09140360100,9356037,31294,5555,9.61
09140360200,54691517,1155588,7453,3.89
09140360300,5692122,64803,3315,2.75
09140360400,5399334,53284,5848,1.27
09140361100,24533309,1219335,6599,1.41
09140361200,9660030,280813,5384,0.4
09140361300,18607368,262793,4209,1.75
09140362101,25911010,297555,4097,4.88
09140362102,68257470,439143,5690,2.63
09140405100,2590234,8291,3035,3.35
09140405200,3624472,0,4285,4.71
09140405300,3493296,0,5920,3.16
09140405401,3790820,9933,3068,0.94
09140405402,4577504,34612,4074,1.44
09140405500,8386618,84102,5424,6.16
09140405600,7594394,368150,7614,12.54
09140405700,3590066,77261,2167,2.59
09140405801,3024884,0,3337,8.68
09140405802,12469526,441349,4741,0.65
09140405900,5300513,12334,5078,2.26
09140406001,4260134,0,4093,5.47
09140406002,3871218,0,4482,0
09140406100,1800158,4983,3811,12.03
09140425300,18086544,532974,4062,3.76
09140425400,33944750,660137,4711,4.18
09140425500,4642793,6744,2942,1.67
09150708100,100924002,2137004,2587,6.45
09150815000,50222578,352486,2168,6.79
09150820000,64988483,1052941,1628,3.68
09150825000,48254860,131054,1524,3.59
09150830100,100392972,1832456,4220,3.7
09150890203,74720104,2514328,991,5.14
09150900100,69571047,2603558,4365,4.46
09150900200,51925313,1926527,4910,3.15
09150901101,44717207,1635954,3103,0
09150901102,112448002,1434941,5164,2.73
09150902200,74904508,891568,1616,6.01
09150902500,104451274,647536,4294,1.79
09150903101,3637100,54688,3497,12.56
09150903102,5287459,70833,3486,3.12
09150903200,43663480,156989,2273,2.74
09150904101,52681111,1398669,4628,0.79
09150904102,42221032,1093389,2493,3.33
09150904400,18929068,880329,4504,9.67
09150904500,11386437,554904,6160,17.86
09150905101,27110990,123376,4470,2.31
09150905102,48343835,158624,3986,0
09150906100,103456494,683775,5082,5.76
09150907100,34472892,812212,4366,2.46
09150907200,34872474,525523,5500,4.1
09150907300,40498714,142661,5213,9.94
09150908100,70499825,171521,3601,15.36
09160260200,50176807,268569,3200,21.94
09160261100,148239632,7341280,4206,3.49
09160262100,152201015,2058011,2710,6.54
09160263200,119297429,656783,1438,9.91
09160265100,68132140,3219783,1474,2.63
09160266100,125813160,2676631,3041,3.96
09160267100,98602270,1482946,3648,8.72
09160268100,68102993,161539,2184,0.69
09160290100,93896736,6671465,3652,2.81
09160293100,81722366,3551365,1463,3.84
09160296100,113004839,4028683,3181,4.87
09160298300,17450384,183964,2734,4.19
09160298400,62309180,712280,2795,0.87
