FIPS,Area (Land),Area (Water),Place (State FIPS + Place FIPS),Qualified Area Name,Total_Pop,Perc_Pov
34003016000,5506663,3238179,34,"Census Tract 160, Bergen County, New Jersey",5330,1.12
34003017101,2081577,15180,34,"Census Tract 171.01, Bergen County, New Jersey",5630,3.83
34003017102,630836,0,34,"Census Tract 171.02, Bergen County, New Jersey",2066,8.61
34003017200,3192005,45608,34,"Census Tract 172, Bergen County, New Jersey",6276,6.2
34003017301,1043019,71510,34,"Census Tract 173.01, Bergen County, New Jersey",3355,0
34003017302,1072123,2877,34,"Census Tract 173.02, Bergen County, New Jersey",3115,2.21
34003017400,2429904,88666,34,"Census Tract 174, Bergen County, New Jersey",6083,1.71
34003017501,1715292,0,34,"Census Tract 175.01, Bergen County, New Jersey",4453,6.47
34003017502,1134937,6158,34,"Census Tract 175.02, Bergen County, New Jersey",4175,2.75
34003018101,324385,0,34,"Census Tract 181.01, Bergen County, New Jersey",4813,19.67
34003018102,265978,0,34,"Census Tract 181.02, Bergen County, New Jersey",3216,12.67
34003018200,1594713,4243,34,"Census Tract 182, Bergen County, New Jersey",6891,13.2
34003019102,827541,604126,34,"Census Tract 191.02, Bergen County, New Jersey",3069,3.65
34003019103,826501,0,34,"Census Tract 191.03, Bergen County, New Jersey",4305,8.04
34003019104,582913,0,34,"Census Tract 191.04, Bergen County, New Jersey",4327,4.86
34003019202,755171,286034,34,"Census Tract 192.02, Bergen County, New Jersey",3574,8.33
34003019203,275740,0,34,"Census Tract 192.03, Bergen County, New Jersey",3330,7.2
34003019204,438870,0,34,"Census Tract 192.04, Bergen County, New Jersey",3717,5.19
34003019303,888917,0,34,"Census Tract 193.03, Bergen County, New Jersey",5467,6.85
34003019304,570360,0,34,"Census Tract 193.04, Bergen County, New Jersey",2536,6.57
34003019305,784234,0,34,"Census Tract 193.05, Bergen County, New Jersey",7271,5.06
34003019306,570427,0,34,"Census Tract 193.06, Bergen County, New Jersey",2222,3.67
34003020100,9868894,215293,34,"Census Tract 201, Bergen County, New Jersey",4013,3.06
34003020200,14514246,998928,34,"Census Tract 202, Bergen County, New Jersey",6998,3.59
34003021101,620061,0,34,"Census Tract 211.01, Bergen County, New Jersey",3965,13.19
34003021102,445601,0,34,"Census Tract 211.02, Bergen County, New Jersey",2882,2.89
34003021200,1138213,124411,34,"Census Tract 212, Bergen County, New Jersey",6357,9.05
34003021300,822951,0,34,"Census Tract 213, Bergen County, New Jersey",4611,9.87
34003021400,1005082,12318,34,"Census Tract 214, Bergen County, New Jersey",4883,20.22
34003021500,905376,29542,34,"Census Tract 215, Bergen County, New Jersey",5031,9.08
34003021600,530281,41023,34,"Census Tract 216, Bergen County, New Jersey",4773,24.19
34003022100,2164566,6367,34,"Census Tract 221, Bergen County, New Jersey",4041,1.64
34003022200,4837408,29816,34,"Census Tract 222, Bergen County, New Jersey",8041,0.68
34003023100,2567429,262832,34,"Census Tract 231, Bergen County, New Jersey",4271,10.97
34003023201,583283,0,34,"Census Tract 232.01, Bergen County, New Jersey",3995,0
34003023202,726104,0,34,"Census Tract 232.02, Bergen County, New Jersey",3503,6.56
34003023301,1087398,0,34,"Census Tract 233.01, Bergen County, New Jersey",3017,6.8
34003023303,154872,0,34,"Census Tract 233.03, Bergen County, New Jersey",2797,0
34003023304,430425,0,34,"Census Tract 233.04, Bergen County, New Jersey",2419,2.96
34003023401,434091,0,34,"Census Tract 234.01, Bergen County, New Jersey",3937,6.47
34003023402,1523459,8691,34,"Census Tract 234.02, Bergen County, New Jersey",6019,4.31
34003023501,645911,0,34,"Census Tract 235.01, Bergen County, New Jersey",3489,16.29
34003023502,602144,0,34,"Census Tract 235.02, Bergen County, New Jersey",4503,23.35
34003023601,1003461,67217,34,"Census Tract 236.01, Bergen County, New Jersey",3672,5.15
34003023602,1096822,71325,34,"Census Tract 236.02, Bergen County, New Jersey",4146,15.22
34003024100,8586631,2195765,34,"Census Tract 241, Bergen County, New Jersey",5896,2.07
