FIPS,Area (Land),Area (Water),Place (State FIPS + Place FIPS),Qualified Area Name,Total_Pop,Perc_Pov
09110503101,312268,0,9,"Census Tract 5031.01, Capitol Planning Region, Connecticut",1551,4.78
09110503102,393557,0,9,"Census Tract 5031.02, Capitol Planning Region, Connecticut",2187,25.72
09110503300,274891,0,9,"Census Tract 5033, Capitol Planning Region, Connecticut",2640,2.94
09110503500,223439,0,9,"Census Tract 5035, Capitol Planning Region, Connecticut",1546,22.96
09110503700,607129,0,9,"Census Tract 5037, Capitol Planning Region, Connecticut",2631,35.97
09110503800,1838651,10746,9,"Census Tract 5038, Capitol Planning Region, Connecticut",2497,25.81
09110503900,1674647,0,9,"Census Tract 5039, Capitol Planning Region, Connecticut",4551,6.69
09110504000,1062805,0,9,"Census Tract 5040, Capitol Planning Region, Connecticut",3390,4.11
09110504100,286070,0,9,"Census Tract 5041, Capitol Planning Region, Connecticut",1541,47.78
09110504200,1168181,0,9,"Census Tract 5042, Capitol Planning Region, Connecticut",5196,21.05
09110504300,727281,0,9,"Census Tract 5043, Capitol Planning Region, Connecticut",2173,16.43
09110504500,772018,0,9,"Census Tract 5045, Capitol Planning Region, Connecticut",3654,26.81
09110504800,1491762,10384,9,"Census Tract 5048, Capitol Planning Region, Connecticut",4340,15.48
09110504900,1556383,0,9,"Census Tract 5049, Capitol Planning Region, Connecticut",4391,18.11
09110510100,3245773,507182,9,"Census Tract 5101, Capitol Planning Region, Connecticut",1962,0
09110510200,2904213,309925,9,"Census Tract 5102, Capitol Planning Region, Connecticut",2115,13.4
09110510300,2388033,0,9,"Census Tract 5103, Capitol Planning Region, Connecticut",4119,12.22
09110510400,2702880,87828,9,"Census Tract 5104, Capitol Planning Region, Connecticut",5794,20.41
09110510500,3628284,18483,9,"Census Tract 5105, Capitol Planning Region, Connecticut",3059,0.8
09110510600,7020639,283703,9,"Census Tract 5106, Capitol Planning Region, Connecticut",4936,20.16
09110510700,3261994,0,9,"Census Tract 5107, Capitol Planning Region, Connecticut",4503,12.31
09110510800,2760820,579025,9,"Census Tract 5108, Capitol Planning Region, Connecticut",3382,7.92
09110510900,3226464,0,9,"Census Tract 5109, Capitol Planning Region, Connecticut",3785,8.19
09110511000,3361298,0,9,"Census Tract 5110, Capitol Planning Region, Connecticut",3593,1.64
09110511100,4134970,16533,9,"Census Tract 5111, Capitol Planning Region, Connecticut",3593,4.62
09110511200,1899377,59668,9,"Census Tract 5112, Capitol Planning Region, Connecticut",3582,15.08
09110511300,1752636,41808,9,"Census Tract 5113, Capitol Planning Region, Connecticut",3990,22.31
09110511400,4350933,0,9,"Census Tract 5114, Capitol Planning Region, Connecticut",2385,6.43
09110514101,4398552,15049,9,"Census Tract 5141.01, Capitol Planning Region, Connecticut",3148,6.98
09110514103,8497242,0,9,"Census Tract 5141.03, Capitol Planning Region, Connecticut",4666,3.51
09110514104,4188625,37464,9,"Census Tract 5141.04, Capitol Planning Region, Connecticut",3517,6.57
09110514200,3602504,201934,9,"Census Tract 5142, Capitol Planning Region, Connecticut",3251,8.68
09110514300,2192485,0,9,"Census Tract 5143, Capitol Planning Region, Connecticut",4340,2.46
09110514400,2423902,23757,9,"Census Tract 5144, Capitol Planning Region, Connecticut",4979,9.59
09110514500,2721630,0,9,"Census Tract 5145, Capitol Planning Region, Connecticut",4420,5.33
09110514600,2144936,0,9,"Census Tract 5146, Capitol Planning Region, Connecticut",5119,15.64
09110514700,1383464,0,9,"Census Tract 5147, Capitol Planning Region, Connecticut",5117,8.03
09110514800,1377342,0,9,"Census Tract 5148, Capitol Planning Region, Connecticut",3286,30.7
09110514900,3546060,22405,9,"Census Tract 5149, Capitol Planning Region, Connecticut",2990,1.37
09110515000,5819653,103011,9,"Census Tract 5150, Capitol Planning Region, Connecticut",3020,0
09110515101,2869203,0,9,"Census Tract 5151.01, Capitol Planning Region, Connecticut",2536,3.28
09110515102,14425579,106416,9,"Census Tract 5151.02, Capitol Planning Region, Connecticut",5683,10.28
09110515200,11431947,159903,9,"Census Tract 5152, Capitol Planning Region, Connecticut",3401,2.37
09110520100,14545605,61531,9,"Census Tract 5201, Capitol Planning Region, Connecticut",5676,0
09110520201,30630369,169127,9,"Census Tract 5202.01, Capitol Planning Region, Connecticut",3763,0.73
09110520202,35226588,209633,9,"Census Tract 5202.02, Capitol Planning Region, Connecticut",4350,1.84
09110520301,7401559,0,9,"Census Tract 5203.01, Capitol Planning Region, Connecticut",4673,3.22
09110520302,8080988,527685,9,"Census Tract 5203.02, Capitol Planning Region, Connecticut",4335,3.46
09110520400,18152799,857996,9,"Census Tract 5204, Capitol Planning Region, Connecticut",7847,0.89
09110520501,18720481,550038,9,"Census Tract 5205.01, Capitol Planning Region, Connecticut",4492,1.95
09110524100,60479198,444481,9,"Census Tract 5241, Capitol Planning Region, Connecticut",6106,6.25
09110524200,11573262,44907,9,"Census Tract 5242, Capitol Planning Region, Connecticut",6749,6.02
09110524300,13245555,243879,9,"Census Tract 5243, Capitol Planning Region, Connecticut",5037,0.8
09110524400,2748770,0,9,"Census Tract 5244, Capitol Planning Region, Connecticut",3651,12.3
09110524501,505955,0,9,"Census Tract 5245.01, Capitol Planning Region, Connecticut",3574,6.17
09110524502,1705657,0,9,"Census Tract 5245.02, Capitol Planning Region, Connecticut",2197,5.77
09110524600,1284877,0,9,"Census Tract 5246, Capitol Planning Region, Connecticut",3115,12.84
09110524700,1786340,0,9,"Census Tract 5247, Capitol Planning Region, Connecticut",3832,14.64
09110526101,43168815,477283,9,"Census Tract 5261.01, Capitol Planning Region, Connecticut",4088,2.33
09110526102,52388802,427663,9,"Census Tract 5261.02, Capitol Planning Region, Connecticut",5021,1.07
09110528100,40012484,635900,9,"Census Tract 5281, Capitol Planning Region, Connecticut",3148,0
09110529100,37314555,766251,9,"Census Tract 5291, Capitol Planning Region, Connecticut",4848,6.86
09110530100,2446479,142113,9,"Census Tract 5301, Capitol Planning Region, Connecticut",2233,9.86
09110530200,3202682,0,9,"Census Tract 5302, Capitol Planning Region, Connecticut",6502,18.71
09110530301,4528721,0,9,"Census Tract 5303.01, Capitol Planning Region, Connecticut",5022,6.52
09110530302,8165191,0,9,"Census Tract 5303.02, Capitol Planning Region, Connecticut",6507,2.72
09110530400,4463197,19436,9,"Census Tract 5304, Capitol Planning Region, Connecticut",4004,6.61
