Always equal to ACS Summary File identification,State Postal Abbreviation,Geographic Identifier,Area Name,Tribal Tract,Tribal Block Group,FIPS,Area (Land),Area (Water),Place (State FIPS + Place FIPS),ZIP Code Tabulation Area (3-digit),Qualified Area Name,Total_Pop,Percent_Pov
ACSSF,NJ,1400000US34003015402,"Census Tract 154.02, Bergen County, New Jersey",,,34003015402,1404774,32317,34,,"Census Tract 154.02, Bergen County, New Jersey",3528,0
ACSSF,NJ,1400000US34003015500,"Census Tract 155, Bergen County, New Jersey",,,34003015500,3704990,21986,34,,"Census Tract 155, Bergen County, New Jersey",6770,2.3
ACSSF,NJ,1400000US34003016000,"Census Tract 160, Bergen County, New Jersey",,,34003016000,5506663,3238179,34,,"Census Tract 160, Bergen County, New Jersey",5330,7.35
ACSSF,NJ,1400000US34003017101,"Census Tract 171.01, Bergen County, New Jersey",,,34003017101,2081577,15180,34,,"Census Tract 171.01, Bergen County, New Jersey",5630,8.85
ACSSF,NJ,1400000US34003017102,"Census Tract 171.02, Bergen County, New Jersey",,,34003017102,630836,0,34,,"Census Tract 171.02, Bergen County, New Jersey",2066,13.96
ACSSF,NJ,1400000US34003017200,"Census Tract 172, Bergen County, New Jersey",,,34003017200,3192005,45608,34,,"Census Tract 172, Bergen County, New Jersey",6276,13.78
ACSSF,NJ,1400000US34003017301,"Census Tract 173.01, Bergen County, New Jersey",,,34003017301,1043019,71510,34,,"Census Tract 173.01, Bergen County, New Jersey",3355,0
ACSSF,NJ,1400000US34003017302,"Census Tract 173.02, Bergen County, New Jersey",,,34003017302,1072123,2877,34,,"Census Tract 173.02, Bergen County, New Jersey",3115,0
ACSSF,NJ,1400000US34003017400,"Census Tract 174, Bergen County, New Jersey",,,34003017400,2429904,88666,34,,"Census Tract 174, Bergen County, New Jersey",6083,1.53
ACSSF,NJ,1400000US34003017501,"Census Tract 175.01, Bergen County, New Jersey",,,34003017501,1715292,0,34,,"Census Tract 175.01, Bergen County, New Jersey",4453,8.22
ACSSF,NJ,1400000US34003017502,"Census Tract 175.02, Bergen County, New Jersey",,,34003017502,1134937,6158,34,,"Census Tract 175.02, Bergen County, New Jersey",4175,2.54
ACSSF,NJ,1400000US34003018101,"Census Tract 181.01, Bergen County, New Jersey",,,34003018101,324385,0,34,,"Census Tract 181.01, Bergen County, New Jersey",4813,35.29
ACSSF,NJ,1400000US34003018102,"Census Tract 181.02, Bergen County, New Jersey",,,34003018102,265978,0,34,,"Census Tract 181.02, Bergen County, New Jersey",3216,29.15
ACSSF,NJ,1400000US34003018200,"Census Tract 182, Bergen County, New Jersey",,,34003018200,1594713,4243,34,,"Census Tract 182, Bergen County, New Jersey",6891,42
ACSSF,NJ,1400000US34003019102,"Census Tract 191.02, Bergen County, New Jersey",,,34003019102,827541,604126,34,,"Census Tract 191.02, Bergen County, New Jersey",3069,6.8
ACSSF,NJ,1400000US34003019103,"Census Tract 191.03, Bergen County, New Jersey",,,34003019103,826501,0,34,,"Census Tract 191.03, Bergen County, New Jersey",4305,2.41
ACSSF,NJ,1400000US34003019104,"Census Tract 191.04, Bergen County, New Jersey",,,34003019104,582913,0,34,,"Census Tract 191.04, Bergen County, New Jersey",4327,7.8
ACSSF,NJ,1400000US34003019202,"Census Tract 192.02, Bergen County, New Jersey",,,34003019202,755171,286034,34,,"Census Tract 192.02, Bergen County, New Jersey",3574,8.65
ACSSF,NJ,1400000US34003019203,"Census Tract 192.03, Bergen County, New Jersey",,,34003019203,275740,0,34,,"Census Tract 192.03, Bergen County, New Jersey",3330,6.47
ACSSF,NJ,1400000US34003019204,"Census Tract 192.04, Bergen County, New Jersey",,,34003019204,438870,0,34,,"Census Tract 192.04, Bergen County, New Jersey",3717,4.44
ACSSF,NJ,1400000US34003019303,"Census Tract 193.03, Bergen County, New Jersey",,,34003019303,888917,0,34,,"Census Tract 193.03, Bergen County, New Jersey",5467,8.39
ACSSF,NJ,1400000US34003019304,"Census Tract 193.04, Bergen County, New Jersey",,,34003019304,570360,0,34,,"Census Tract 193.04, Bergen County, New Jersey",2536,6.9
ACSSF,NJ,1400000US34003019305,"Census Tract 193.05, Bergen County, New Jersey",,,34003019305,784234,0,34,,"Census Tract 193.05, Bergen County, New Jersey",7271,20
ACSSF,NJ,1400000US34003019306,"Census Tract 193.06, Bergen County, New Jersey",,,34003019306,570427,0,34,,"Census Tract 193.06, Bergen County, New Jersey",2222,5.49
ACSSF,NJ,1400000US34003020100,"Census Tract 201, Bergen County, New Jersey",,,34003020100,9868894,215293,34,,"Census Tract 201, Bergen County, New Jersey",4013,6.66
ACSSF,NJ,1400000US34003020200,"Census Tract 202, Bergen County, New Jersey",,,34003020200,14514246,998928,34,,"Census Tract 202, Bergen County, New Jersey",6998,1.07
ACSSF,NJ,1400000US34003021101,"Census Tract 211.01, Bergen County, New Jersey",,,34003021101,620061,0,34,,"Census Tract 211.01, Bergen County, New Jersey",3965,10.24
ACSSF,NJ,1400000US34003021102,"Census Tract 211.02, Bergen County, New Jersey",,,34003021102,445601,0,34,,"Census Tract 211.02, Bergen County, New Jersey",2882,4.94
ACSSF,NJ,1400000US34003021200,"Census Tract 212, Bergen County, New Jersey",,,34003021200,1138213,124411,34,,"Census Tract 212, Bergen County, New Jersey",6357,13.69
ACSSF,NJ,1400000US34003021300,"Census Tract 213, Bergen County, New Jersey",,,34003021300,822951,0,34,,"Census Tract 213, Bergen County, New Jersey",4611,28.77
ACSSF,NJ,1400000US34003021400,"Census Tract 214, Bergen County, New Jersey",,,34003021400,1005082,12318,34,,"Census Tract 214, Bergen County, New Jersey",4883,24.09
ACSSF,NJ,1400000US34003021500,"Census Tract 215, Bergen County, New Jersey",,,34003021500,905376,29542,34,,"Census Tract 215, Bergen County, New Jersey",5031,17.09
ACSSF,NJ,1400000US34003021600,"Census Tract 216, Bergen County, New Jersey",,,34003021600,530281,41023,34,,"Census Tract 216, Bergen County, New Jersey",4773,38.01
ACSSF,NJ,1400000US34003022100,"Census Tract 221, Bergen County, New Jersey",,,34003022100,2164566,6367,34,,"Census Tract 221, Bergen County, New Jersey",4041,0
ACSSF,NJ,1400000US34003022200,"Census Tract 222, Bergen County, New Jersey",,,34003022200,4837408,29816,34,,"Census Tract 222, Bergen County, New Jersey",8041,1.23
ACSSF,NJ,1400000US34003023100,"Census Tract 231, Bergen County, New Jersey",,,34003023100,2567429,262832,34,,"Census Tract 231, Bergen County, New Jersey",4271,21.43
ACSSF,NJ,1400000US34003023201,"Census Tract 232.01, Bergen County, New Jersey",,,34003023201,583283,0,34,,"Census Tract 232.01, Bergen County, New Jersey",3995,0
ACSSF,NJ,1400000US34003023202,"Census Tract 232.02, Bergen County, New Jersey",,,34003023202,726104,0,34,,"Census Tract 232.02, Bergen County, New Jersey",3503,2.63
