OBJECTID,ID,ADDRESS,TERMINAL_NUMBER,LATITUDE,LONGITUDE,INSTALLED,LOCKED,INSTALL_DATE,REMOVAL_DATE,TEMPORARY_INSTALL,NUMBER_OF_BIKES,NUMBER_OF_EMPTY_DOCKS,X,Y,SE_ANNO_CAD_DATA
169044222,112,25th St & Pennsylvania Ave NW,31237,38.903827,-77.053485,YES,NO,,,NO,0,13,395360.7536,137331.4883,
169044223,113,Columbus Circle / Union Station,31623,38.89696,-77.00493,YES,NO,,,NO,28,27,399572.3345,136567.8488,
169044224,114,North Capitol St & F St NW,31624,38.897446,-77.00989,YES,NO,,,NO,6,13,399142.246,136621.8335,
169044225,115,11th & M St NW,31266,38.905607,-77.027137,YES,NO,,,NO,1,18,397646.2168,137528.0736,
169044226,116,36th & Calvert St NW / Glover Park,31304,38.922581,-77.070334,YES,NO,,,NO,1,14,393900.8889,139414.3282,
169044227,117,14th & G St NW,31238,38.898069,-77.031823,YES,NO,,,NO,6,15,397239.4753,136691.4262,
169044228,118,Potomac Ave & 35th St S,31052,38.844015,-77.050537,YES,NO,,,NO,10,13,395612.7851,130691.7623,
169044229,124,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,31240,38.88412,-77.04657,YES,NO,,,NO,15,7,395959.4391,135143.5273,
169044230,125,11th & F St NW,31262,38.897857,-77.026975,YES,NO,,,NO,2,13,397660.014,136667.7571,
169044231,126,23rd & E St NW,31260,38.896104,-77.049882,YES,NO,,,NO,1,18,395672.8064,136473.9966,
169044232,127,Lynn & 19th St North,31014,38.897315,-77.070993,YES,NO,,,NO,14,16,393841.5616,136609.6397,
169044233,128,Rosslyn Metro / Wilson Blvd & Ft Myer Dr,31015,38.8946,-77.072305,YES,NO,,,NO,3,15,393727.5107,136308.3425,
169044234,129,Clarendon Blvd & Pierce St,31016,38.893438,-77.076389,YES,NO,,,NO,0,12,393373.1141,136179.64,
169044235,130,Wilson Blvd & N Uhle St,31017,38.891696,-77.0846,YES,NO,,,NO,3,12,392660.6158,135986.8924,
169044236,131,N Rhodes & 16th St N,31018,38.892164,-77.079375,YES,NO,,,NO,4,6,393113.9503,136038.437,
169044237,132,Fairfax Village,31706,38.86559,-76.952103,YES,NO,,,NO,5,10,404156.7748,133086.6177,
169044238,133,21st St & Constitution Ave NW,31261,38.892459,-77.046567,YES,NO,,,NO,0,14,395960.1716,136069.221,
169044239,134,Wilson Blvd & N Edgewood St,31019,38.889,-77.0925,YES,NO,,,NO,2,5,391974.9566,135688.2803,
169044240,135,Columbia Rd & Belmont St NW,31113,38.920669,-77.04368,YES,NO,,,NO,1,18,396212.126,139200.6367,
169044241,136,Rhode Island & Connecticut Ave NW,31239,38.905996,-77.039802,YES,NO,,,NO,16,5,396547.711,137571.6585,
169044242,137,Thomas Circle,31241,38.9059,-77.0325,YES,NO,,,NO,0,32,397181.0576,137560.7509,
169044243,138,Wilson Blvd & Franklin Rd,31020,38.8904,-77.0889,YES,NO,,,NO,5,6,392287.4339,135843.3808,
169044244,139,Clarendon Blvd & N Fillmore St,31021,38.8881,-77.09308,YES,NO,,,NO,4,11,391924.5356,135588.4245,
169044245,140,Clarendon Metro / Wilson Blvd & N Highland St,31022,38.88786,-77.094875,YES,NO,,,NO,3,14,391768.7767,135561.9429,
169044246,141,18th St & Pennsylvania Ave NW,31242,38.89968,-77.041539,YES,NO,,,NO,5,22,396396.7306,136870.5987,
169044247,142,Maryland & Independence Ave SW,31243,38.887299,-77.018939,YES,NO,,,NO,26,10,398356.8655,135495.5607,
169044248,143,4th & E St SW,31244,38.88412,-77.017445,YES,NO,,,NO,5,12,398486.4164,135142.6413,
169044249,144,3rd & G St SE,31625,38.881185,-77.001828,YES,NO,,,NO,4,14,399841.3904,134816.6907,
169044250,145,7th & R St NW / Shaw Library,31245,38.912719,-77.022155,YES,NO,,,NO,1,13,398078.5324,138317.4472,
169044251,146,9th & Upshur St NW,31404,38.9418,-77.0251,YES,NO,,,NO,0,14,397824.0048,141545.7535,
169044252,147,1st & Rhode Island Ave NW,31506,38.915417,-77.012289,YES,NO,,,NO,0,10,398934.235,138616.7862,
169044253,148,Columbia Rd & Georgia Ave NW,31115,38.928121,-77.023795,YES,NO,,,NO,0,18,397936.7434,140027.2348,
169044254,149,California St & Florida Ave NW,31116,38.917761,-77.04062,YES,NO,,,NO,1,16,396477.3416,138877.7017,
169044255,150,Benning Rd & East Capitol St NE / Benning Rd Metro,31707,38.889935,-76.93723,YES,NO,,,NO,7,12,405445.6802,135789.879,
169044256,151,3000 Connecticut Ave NW / National Zoo,31307,38.930282,-77.055599,YES,NO,,,NO,1,14,395179.1755,140268.3235,
169044257,152,Anacostia Ave & Benning Rd NE / River Terrace,31708,38.896544,-76.96012,YES,NO,,,NO,8,5,403459.5128,136522.4136,
169044258,153,M St & Pennsylvania Ave NW,31246,38.905126,-77.056887,YES,NO,,,NO,7,6,395065.7567,137475.8662,
169044259,154,15th St & Massachusetts Ave SE,31626,38.88732,-76.983569,YES,NO,,,NO,3,12,401425.5418,135497.8497,
169044260,155,Congress Heights Metro,31806,38.844711,-76.987823,YES,NO,,,NO,3,10,401057.0987,130767.8792,
169044261,156,N Quincy St & Glebe Rd,31035,38.876393,-77.107735,YES,NO,,,NO,6,5,390651.5592,134290.257,
169044262,157,Barcroft Community Center,31033,38.850337,-77.100989,YES,NO,,,NO,9,2,391233.7268,131397.1831,
169044263,158,N Veitch  & 20th St N,31029,38.896923,-77.086502,YES,NO,,,NO,4,10,392496.1597,136567.2851,
169044264,159,10th & K St NW,31263,38.9024,-77.02622,YES,NO,,,NO,3,18,397725.6524,137172.0474,
169044265,160,Fairfax Dr & Wilson Blvd,31023,38.885801,-77.097745,YES,NO,,,NO,7,3,391519.5349,135333.6408,
169044266,161,Key Blvd & N Quinn St,31027,38.896015,-77.078107,YES,NO,,,NO,8,2,393224.3193,136465.8334,
169044267,162,1st & K St SE,31628,38.87861,-77.006004,YES,NO,,,NO,0,10,399479.0337,134530.8616,
169044268,163,39th & Calvert St NW / Stoddert,31306,38.922649,-77.077271,YES,NO,,,NO,0,18,393299.3438,139422.3631,
169044269,164,1st & Washington Hospital Center NW,31507,38.928743,-77.012457,YES,NO,,,NO,3,11,398919.8671,140096.0869,
169044270,165,Virginia Square Metro / N Monroe St & 9th St N,31024,38.882788,-77.103148,YES,NO,,,NO,8,11,391050.3869,134999.6906,
