CMPLNT_NUM,CMPLNT_FR_,CMPLNT_F_1,CMPLNT_TO_,CMPLNT_T_1,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_C,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_C,LOC_OF_OCC,PREM_TYP_D,PARKS_NM,HADEVELOPT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
616782134,9/14/2013,2:10:00,9/14/2013,2:15:00,9/14/2013,124,KIDNAPPING & RELATED OFFENSES,183,"IMPRISONMENT 1,UNLAWFUL",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,60,INSIDE,RESIDENCE - APT. HOUSE,,,"993,287","150,933",40.58095587,-73.96746802,"(40.580955867, -73.967468017)"
737879284,7/15/2011,14:00:00,,,7/15/2011,124,KIDNAPPING & RELATED OFFENSES,185,KIDNAPPING 2,COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,66,,STREET,,,"993,227","161,300",40.60941126,-73.96767025,"(40.609411258, -73.967670245)"
972981937,6/19/2006,7:00:00,6/19/2006,15:00:00,6/19/2006,124,KIDNAPPING & RELATED OFFENSES,187,KIDNAPPING 1,COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,19,INSIDE,RESIDENCE - APT. HOUSE,,,"993,117","219,184",40.76828962,-73.96799024,"(40.768289618, -73.967990243)"
238462611,9/9/2016,4:00:00,9/9/2016,6:00:00,9/10/2016,124,KIDNAPPING & RELATED OFFENSES,185,KIDNAPPING 2,COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,90,INSIDE,HOTEL/MOTEL,,,"993,044","198,450",40.71138001,-73.96828089,"(40.711380005, -73.968280886)"
588567985,5/25/2009,0:32:00,5/25/2009,0:37:00,5/25/2009,124,KIDNAPPING & RELATED OFFENSES,183,"IMPRISONMENT 1,UNLAWFUL",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,88,FRONT OF,RESIDENCE - APT. HOUSE,,,"993,045","190,845",40.69050606,-73.96828721,"(40.690506056, -73.968287209)"
638329064,8/17/2009,21:00:00,8/18/2009,8:00:00,8/21/2009,124,KIDNAPPING & RELATED OFFENSES,193,CUSTODIAL INTERFERENCE 1,COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,70,INSIDE,RESIDENCE - APT. HOUSE,,,"992,897","169,277",40.63130679,-73.96884854,"(40.631306793, -73.968848543)"
303544859,11/7/2015,1:00:00,11/7/2015,1:30:00,11/7/2015,124,KIDNAPPING & RELATED OFFENSES,183,"IMPRISONMENT 1,UNLAWFUL",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,60,FRONT OF,STREET,,,"992,871","152,905",40.58636903,-73.96896311,"(40.58636903, -73.968963111)"
620668249,9/29/2012,2:00:00,9/29/2012,6:00:00,9/29/2012,124,KIDNAPPING & RELATED OFFENSES,185,KIDNAPPING 2,COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,70,FRONT OF,SOCIAL CLUB/POLICY,,,"992,830","172,564",40.64032898,-73.96908575,"(40.640328975, -73.969085749)"
831742871,1/15/2014,16:00:00,1/15/2014,16:01:00,1/15/2014,124,KIDNAPPING & RELATED OFFENSES,185,KIDNAPPING 2,ATTEMPTED,FELONY,N.Y. POLICE DEPT,MANHATTAN,24,,STREET,,,"992,790","227,320",40.79062111,-73.96916042,"(40.790621113, -73.969160422)"
745806592,8/31/2007,15:00:00,,,9/9/2007,124,KIDNAPPING & RELATED OFFENSES,193,CUSTODIAL INTERFERENCE 1,COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,70,INSIDE,RESIDENCE-HOUSE,,,"992,734","170,407",40.63440856,-73.96943437,"(40.634408562, -73.96943437)"
371319852,12/11/2007,23:00:00,,,12/12/2007,124,KIDNAPPING & RELATED OFFENSES,185,KIDNAPPING 2,COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,61,FRONT OF,RESIDENCE-HOUSE,,,"992,703","159,513",40.60450682,-73.9695597,"(40.604506823, -73.969559698)"
570422507,4/24/2008,2:45:00,,,4/24/2008,124,KIDNAPPING & RELATED OFFENSES,183,"IMPRISONMENT 1,UNLAWFUL",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,77,FRONT OF,STREET,,,"992,624","186,929",40.67975794,-73.96981018,"(40.679757937, -73.969810176)"
279962590,7/9/2016,3:00:00,7/9/2016,7:17:00,7/9/2016,124,KIDNAPPING & RELATED OFFENSES,183,"IMPRISONMENT 1,UNLAWFUL",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,17,INSIDE,BAR/NIGHT CLUB,,,"992,535","214,244",40.75473115,-73.97009744,"(40.75473115, -73.970097437)"
978778926,1/4/2006,16:00:00,1/4/2006,16:30:00,1/4/2006,124,KIDNAPPING & RELATED OFFENSES,187,KIDNAPPING 1,ATTEMPTED,FELONY,N.Y. POLICE DEPT,MANHATTAN,24,,STREET,,,"992,451","229,502",40.79661043,-73.97038201,"(40.796610434, -73.97038201)"
614193582,5/11/2013,20:00:00,5/15/2013,14:41:00,5/15/2013,124,KIDNAPPING & RELATED OFFENSES,187,KIDNAPPING 1,COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,78,INSIDE,RESIDENCE - APT. HOUSE,,,"992,448","186,290",40.67800419,-73.9704455,"(40.678004191, -73.970445496)"
663628453,1/8/2014,21:13:00,1/8/2014,21:30:00,1/9/2014,124,KIDNAPPING & RELATED OFFENSES,193,CUSTODIAL INTERFERENCE 1,COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,24,INSIDE,RESIDENCE - APT. HOUSE,,,"992,387","228,450",40.79372304,-73.97061443,"(40.793723038, -73.970614432)"
850467637,11/16/2009,2:30:00,11/16/2009,2:45:00,11/16/2009,124,KIDNAPPING & RELATED OFFENSES,183,"IMPRISONMENT 1,UNLAWFUL",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,24,INSIDE,RESIDENCE - APT. HOUSE,,,"992,362","229,399",40.79632781,-73.97070358,"(40.796327809, -73.970703575)"
343873716,11/11/2011,20:00:00,11/18/2011,23:00:00,11/18/2011,124,KIDNAPPING & RELATED OFFENSES,193,CUSTODIAL INTERFERENCE 1,COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,66,INSIDE,RESIDENCE-HOUSE,,,"992,308","172,443",40.63999735,-73.97096678,"(40.639997346, -73.970966778)"
818146973,8/21/2009,6:40:00,8/21/2009,7:00:00,8/21/2009,124,KIDNAPPING & RELATED OFFENSES,193,CUSTODIAL INTERFERENCE 1,COMPLETED,FELONY,N.Y. HOUSING POLICE,BROOKLYN,88,INSIDE,RESIDENCE - PUBLIC HOUSING,,ATLANTIC TERMINAL SITE 4B,"992,297","188,389",40.68376561,-73.97098739,"(40.683765609, -73.970987385)"
806205755,5/9/2007,7:55:00,5/9/2007,8:10:00,5/9/2007,124,KIDNAPPING & RELATED OFFENSES,183,"IMPRISONMENT 1,UNLAWFUL",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,17,FRONT OF,TAXI (YELLOW LICENSED),,,"992,282","213,788",40.75347978,-73.97101117,"(40.753479778, -73.971011165)"
961771854,9/30/2006,10:30:00,,,10/7/2006,124,KIDNAPPING & RELATED OFFENSES,193,CUSTODIAL INTERFERENCE 1,COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,17,FRONT OF,STREET,,,"992,254","214,997",40.7567982,-73.97111079,"(40.756798201, -73.971110787)"
254011776,10/12/2012,18:00:00,,,10/12/2012,124,KIDNAPPING & RELATED OFFENSES,193,CUSTODIAL INTERFERENCE 1,COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,61,INSIDE,RESIDENCE - APT. HOUSE,,,"992,149","156,984",40.59756574,-73.97155777,"(40.597565742, -73.971557772)"
653846445,8/22/2008,19:00:00,8/25/2008,4:00:00,9/3/2008,124,KIDNAPPING & RELATED OFFENSES,193,CUSTODIAL INTERFERENCE 1,COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,24,INSIDE,RESIDENCE - APT. HOUSE,,,"992,122","229,830",40.797511,-73.97156987,"(40.797511004, -73.97156987)"
601006010,3/30/2008,0:30:00,3/30/2008,0:45:00,4/16/2008,124,KIDNAPPING & RELATED OFFENSES,183,"IMPRISONMENT 1,UNLAWFUL",ATTEMPTED,FELONY,N.Y. POLICE DEPT,MANHATTAN,18,INSIDE,HOTEL/MOTEL,,,"992,114","216,885",40.76198041,-73.97161391,"(40.761980405, -73.971613913)"
209550192,4/18/2008,16:00:00,,,4/20/2008,124,KIDNAPPING & RELATED OFFENSES,185,KIDNAPPING 2,COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,18,INSIDE,RESIDENCE - APT. HOUSE,,,"991,970","215,005",40.75682041,-73.97213588,"(40.756820413, -73.972135884)"
146351338,12/25/2008,14:30:00,,,12/26/2008,124,KIDNAPPING & RELATED OFFENSES,193,CUSTODIAL INTERFERENCE 1,COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,20,INSIDE,RESIDENCE - APT. HOUSE,,,"991,955","224,888",40.78394669,-73.9721787,"(40.783946689, -73.972178698)"
902162176,10/26/2012,18:30:00,10/26/2012,18:40:00,10/26/2012,124,KIDNAPPING & RELATED OFFENSES,185,KIDNAPPING 2,ATTEMPTED,FELONY,N.Y. POLICE DEPT,BROOKLYN,88,FRONT OF,STREET,,,"991,913","191,840",40.69323815,-73.972368,"(40.693238154, -73.972368)"
870696531,9/14/2012,18:00:00,9/14/2012,23:20:00,9/15/2012,124,KIDNAPPING & RELATED OFFENSES,185,KIDNAPPING 2,COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,72,FRONT OF,STREET,,,"991,811","175,582",40.64861366,-73.97275406,"(40.648613664, -73.972754055)"
