Census Tract,Geography,Geographic Area Name,Total,"Chinese, except Taiwanese",Hmong,Japanese,Korean,Mongolian,Okinawan,Taiwanese,Other East Asian,Burmese,Cambodian,Filipino,Indonesian,Laotian,Malaysian,Mien,Singaporean,Thai,Vietnamese,Other Southeast Asian,Asian Indian,Bangladeshi,Bhutanese,Nepalese,Pakistani,Sikh,Sri Lankan,Other South Asian,Kazakh,Uzbek,Other Central Asian,"Other Asian, specified","Other Asian, not specified",Two or more Asian,Estimate!!Total:,Percent Asian of Census Tract,GEOID
21869,1400000US13067030278,Census Tract 302.78; Cobb County; Georgia,251,80,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,89,0,47,0,0,0,5,0,0,0,0,0,0,0,0,0,5721,4.38734487,13067030278
21870,1400000US13067030319,Census Tract 303.19; Cobb County; Georgia,786,172,0,15,116,0,0,50,0,0,0,0,0,0,0,0,0,35,0,0,291,0,0,0,18,0,0,0,0,0,0,0,89,0,4486,17.521177,13067030319
21871,1400000US13067030322,Census Tract 303.22; Cobb County; Georgia,194,6,0,9,0,0,0,0,0,0,0,20,0,0,0,0,0,0,3,0,144,0,0,0,0,0,0,0,0,0,0,0,0,12,3891,4.985864816,13067030322
21872,1400000US13067030324,Census Tract 303.24; Cobb County; Georgia,52,0,0,8,20,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,4492,1.157613535,13067030324
21873,1400000US13067030326,Census Tract 303.26; Cobb County; Georgia,565,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,545,0,0,0,0,0,0,0,0,0,0,0,0,0,4443,12.71663291,13067030326
21874,1400000US13067030327,Census Tract 303.27; Cobb County; Georgia,377,34,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,0,0,0,136,0,0,0,0,0,0,0,0,0,4745,7.945205479,13067030327
21875,1400000US13067030329,Census Tract 303.29; Cobb County; Georgia,305,31,0,18,80,0,0,0,0,0,0,8,0,0,0,0,10,0,103,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,4497,6.782299311,13067030329
21876,1400000US13067030331,Census Tract 303.31; Cobb County; Georgia,537,59,0,0,72,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,390,0,0,0,0,0,0,0,0,0,0,0,0,0,5545,9.684400361,13067030331
21877,1400000US13067030332,Census Tract 303.32; Cobb County; Georgia,463,161,0,0,103,5,0,0,0,0,0,14,0,0,0,0,0,0,42,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,2956,15.66305819,13067030332
21878,1400000US13067030334,Census Tract 303.34; Cobb County; Georgia,329,0,0,0,146,0,0,0,0,0,0,0,24,0,0,0,0,0,52,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,3460,9.50867052,13067030334
21879,1400000US13067030335,Census Tract 303.35; Cobb County; Georgia,378,31,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,315,0,0,0,0,0,0,0,0,0,0,0,0,0,4975,7.59798995,13067030335
21880,1400000US13067030337,Census Tract 303.37; Cobb County; Georgia,430,134,0,2,33,0,0,10,0,0,0,5,0,0,0,0,0,0,0,0,246,0,0,0,0,0,0,0,0,0,0,0,0,0,5091,8.446277745,13067030337
21881,1400000US13067030340,Census Tract 303.40; Cobb County; Georgia,153,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,54,0,70,0,0,0,0,0,0,0,0,0,0,0,13,0,4401,3.476482618,13067030340
21882,1400000US13067030341,Census Tract 303.41; Cobb County; Georgia,329,114,0,13,40,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,4571,7.19754977,13067030341
21883,1400000US13067030342,Census Tract 303.42; Cobb County; Georgia,301,32,0,25,36,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,27,4843,6.215155895,13067030342
21884,1400000US13067030343,Census Tract 303.43; Cobb County; Georgia,598,96,0,8,41,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,360,0,0,0,10,0,0,0,0,0,0,0,30,16,5124,11.67056987,13067030343
21885,1400000US13067030344,Census Tract 303.44; Cobb County; Georgia,254,31,0,0,72,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,3785,6.710700132,13067030344
21886,1400000US13067030345,Census Tract 303.45; Cobb County; Georgia,1303,27,0,80,30,0,0,11,0,0,0,22,0,0,0,0,0,0,65,0,1034,0,0,0,34,0,0,0,0,0,0,0,0,0,7360,17.70380435,13067030345
21887,1400000US13067030346,Census Tract 303.46; Cobb County; Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5618,0,13067030346
21888,1400000US13067030347,Census Tract 303.47; Cobb County; Georgia,124,19,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,4464,2.777777778,13067030347
21889,1400000US13067030348,Census Tract 303.48; Cobb County; Georgia,650,19,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,340,0,0,0,64,0,25,0,0,0,0,0,0,122,5044,12.88659794,13067030348
21890,1400000US13067030349,Census Tract 303.49; Cobb County; Georgia,155,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3255,4.761904762,13067030349
21891,1400000US13067030350,Census Tract 303.50; Cobb County; Georgia,228,72,0,0,23,0,0,0,0,0,0,14,0,0,0,0,0,0,30,0,66,0,0,0,0,0,0,0,0,0,0,0,0,23,2281,9.995615958,13067030350
21892,1400000US13067030351,Census Tract 303.51; Cobb County; Georgia,180,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,3103,5.800837899,13067030351
21893,1400000US13067030352,Census Tract 303.52; Cobb County; Georgia,750,63,0,0,44,0,0,56,0,0,0,11,0,0,0,0,0,0,67,0,401,0,0,0,108,0,0,0,0,0,0,0,0,0,6218,12.06175619,13067030352
